Venue Name,Venue Location,Price per Plate
Kings Forth Hotels,"Chattarpur, Delhi","35,000"
Divine Farms Hall 1,"Chattarpur, Delhi",1600 - 1800
Radiance Motel Crystal Room Hall 1,"Chattarpur, Delhi",1600 - 1800
New Vasu Garden,"Chattarpur, Delhi",1500 - 1700
Uttsav Farm Hall 1,"Chattarpur, Delhi",1600 - 1800
Karnation By Kids Kraze,"Chattarpur, Delhi",1 - 1
Country Inn,"Chattarpur, Delhi",2518 - 2718
Mallu Farm,"Chattarpur, Delhi",2500 - 2800
Grey RC&M Farm house,"Chattarpur, Delhi",550 - 650
Dera Green Farms,"Chattarpur, Delhi",1418 - 1618
Chhatarpur Central Banquet Hall,"Chattarpur, Delhi",1800 - 2500
Anantkoti Hall,"Chattarpur, Delhi",818 - 918
Banquet Halls in Chattarpur,"Chattarpur, Delhi",1000 - 1500
Lily White Hotel,"Chattarpur, Delhi",1000 - 1400
Utsav Green Farms,"Chattarpur, Delhi",600 - 700
The Canvas Farms,"Chattarpur, Delhi",1500 - 2100
Rose Farm Chattarpur,"Chattarpur, Delhi",1000 - 1300
The Kitchen Crew Chatarpur,"Chattarpur, Delhi",450 - 475
Park Boulevard,"Chattarpur, Delhi","10,00,000"
Fairy Tale Orchards by Fleur and Decor,"Chattarpur, Delhi",800 - 1500
Rose Farm Hall 1,"Chattarpur, Delhi","1,29,800"
Sagan Farm,"Chattarpur, Delhi","1,50,005"
Shiv Shakti Mandir Birla Farms,"Chattarpur, Delhi",500
Royal Dale Hotel,"Chattarpur, Delhi","2,00,000"
