Venue Name,Venue Location,Price per Plate
Madhuram Hall,"Dahisar East, Mumbai",350
SP Banquet Hall,"Dahisar East, Mumbai",500
Vidya Mandir Banquet Hall,"Dahisar East, Mumbai",800
Vitthal Rakhumai Mandir Hall,"Dahisar East, Mumbai",450
Srimad Madhavendra Sabhagriha Hall,"Dahisar East, Mumbai",550 - 650
The Maharaja Dahisar,"Dahisar East, Mumbai",700 - 850
Radha Krishna Mandir Hall,"Dahisar East, Mumbai",600
Shri Manglik Banquet Party Hall,"Dahisar East, Mumbai","35,000"
RAJESHREE Banquet Hall,"Dahisar East, Mumbai",850
Srimad Madhavendra Sabhagriha,"Dahisar East, Mumbai","1,30,000"
Bharatiya Sadvichar Marriage Hall,"Dahisar East, Mumbai","30,000"
