Venue Name,Venue Location,Price per Plate
Sarovar Utsav Party Hall,"Devanahalli, Bangalore",499 - 599
Vasundari Resort,"Devanahalli, Bangalore",650 - 800
Royal Lotus View Resotel,"Devanahalli, Bangalore",799 - 1299
Tripelegant Resort at Surabhi Enclave,"Devanahalli, Bangalore",650 - 98
Clarks Exotica Convention Resorts And Spa,"Devanahalli, Bangalore",1318 - 1618
S J M Function Hall,"Devanahalli, Bangalore",399 - 599
Hotel Pooja International,"Devanahalli, Bangalore",600 - 800
Chairmans Jade Club & Resort,"Devanahalli, Bangalore",800 - 1000
Club Cabana Day Outing Resort,"Devanahalli, Bangalore",1118 - 1318
Chairman's Jade Club & Resort,"Devanahalli, Bangalore",700 - 900
Signature Club Resort 2,"Devanahalli, Bangalore",1500 - 1700
Sri Girija Shankara Kalyana Mantapa,"Devanahalli, Bangalore","53,000"
AGN Convention Hall,"Devanahalli, Bangalore","53,000"
Ambabhavani Kalyana Mantapa,"Devanahalli, Bangalore","40,018"
AKS Convention Hall,"Devanahalli, Bangalore","93,018"
Bapuji Bank Samudaya Bhavana,"Devanahalli, Bangalore","85,018"
Thogataveera Kalyana Mantapa,"Devanahalli, Bangalore","45,018"
Sri Anjaneya Swamy Kalyana Mantapa,"Devanahalli, Bangalore","60,018"
KEB Samudaya Bhavana,"Devanahalli, Bangalore","70,018"
Shree Sai Sabhabhavan Function Hall,"Devanahalli, Bangalore","1,05,018"
Taj Palace Marriage Hall,"Devanahalli, Bangalore","95,018"
Bhagirathi Convention Hall,"Devanahalli, Bangalore","75,018"
Shri Chatrapati Shivaji Maharaj Samudaya Bhavana Jarikatte Davangere,"Devanahalli, Bangalore","65,018"
Garuda Mahal,"Devanahalli, Bangalore","25,018"
