Venue Name,Venue Location,Price per Plate
Airport City Hotel,"Dum Dum, Kolkata",1200 - 1500
Hotel Stayotel Banquets,"Dum Dum, Kolkata",900 - 1100
Shubhodrishti Marriage Hall,"Dum Dum, Kolkata",599 - 699
Jagadamba Udyan Hall 1,"Dum Dum, Kolkata",800 - 1000
Chandra Banquets,"Dum Dum, Kolkata",800 - 1000
Basanti Bhawan,"Dum Dum, Kolkata",800 - 1000
Lotus Banquet,"Dum Dum, Kolkata",800 - 1000
Indralok Hall,"Dum Dum, Kolkata",699 - 799
N K Bhavan,"Dum Dum, Kolkata",800 - 1000
Janata Hotel Hall,"Dum Dum, Kolkata",700 - 800
Sree Krishna Marriage Hall,"Dum Dum, Kolkata",1000 - 1200
Rabindra Bhavan Hall,"Dum Dum, Kolkata",500 - 600
Suchitram Ceremonial Hall,"Dum Dum, Kolkata",800 - 1000
My Little Kitchen Hall,"Dum Dum, Kolkata",800 - 700
Nilachal Marriage Hall,"Dum Dum, Kolkata",500 - 600
Mangaldeep Marriage Hall,"Dum Dum, Kolkata",650 - 900
Badhon Grand Hall,"Dum Dum, Kolkata",650 - 750
Kolkata Marriage Hall,"Dum Dum, Kolkata",700 - 850
Suryamani,"Dum Dum, Kolkata",700 - 850
Kalpataru Banquet Hall,"Dum Dum, Kolkata",600 - 700
Sadhukhan Banquet,"Dum Dum, Kolkata",600 - 700
Joza Banquet Hall,"Dum Dum, Kolkata",850 - 850
Palms Kitchen Banquet,"Dum Dum, Kolkata",800 - 1000
Diamond Banquet,"Dum Dum, Kolkata",850 - 1100
