Venue Name,Venue Location,Price per Plate
Swagath De Royal,"Gachibowli, Hyderabad","90,000"
Le Meridien Hyderabad,"Gachibowli, Hyderabad",2360 - 2596
S Banquets,"Gachibowli, Hyderabad",472 - 590
The Peerless Inn,"Gachibowli, Hyderabad",500 - 650
Radisson - Summit 1,"Gachibowli, Hyderabad",550 - 650
Anvaya Convention,"Gachibowli, Hyderabad",2596 - 2832
Hotel Royal Grand Inn,"Gachibowli, Hyderabad",350 - 500
Sheraton Hyderabad Hotel,"Gachibowli, Hyderabad",2124 - 2360
Botanika Banquet Hall,"Gachibowli, Hyderabad",868 - 1268
Over The Moon Brew Company,"Gachibowli, Hyderabad",1500 - 2000
The Fishermans Wharf,"Gachibowli, Hyderabad",1500 - 1700
Hyatt Hyderabad Gachibowli,"Gachibowli, Hyderabad",4720 - 5320
Ellaa Hotel Lawn,"Gachibowli, Hyderabad",1298 - 1534
Sri Sathya Bharathi Convention Centre,"Gachibowli, Hyderabad","8,00,000"
The Tilt Bar Republic Mini Hall,"Gachibowli, Hyderabad",750 - 850
Royal Spicy Restaurant Hall,"Gachibowli, Hyderabad",350 - 450
Bamboo Street Pub Hall,"Gachibowli, Hyderabad",250 - 350
SN Gardens,"Gachibowli, Hyderabad","18,000"
MS And CO Convention Center,"Gachibowli, Hyderabad","1,10,000"
Naisha Convention Hall,"Gachibowli, Hyderabad","30,000"
Vaaraahi Banquet Halls,"Gachibowli, Hyderabad","2,00,000"
Shivani The Banquet,"Gachibowli, Hyderabad","1,00,000"
