Venue Name,Venue Location,Price per Plate
Vrindaban Catering & Banquet Services,"Gariahat, Kolkata","65,000"
Somnath Hall,"Gariahat, Kolkata",800 - 1000
Arya Regency,"Gariahat, Kolkata",899 - 999
Parampara Banquet Hall,"Gariahat, Kolkata",800 - 1000
Eldorado Guest House,"Gariahat, Kolkata",800 - 1000
DK Banquet,"Gariahat, Kolkata",1200 - 1200
Joy Mangal Hall,"Gariahat, Kolkata",350 - 450
Aditya Guest House and Banquet Hall,"Gariahat, Kolkata",400 - 600
Kanoria Hall,"Gariahat, Kolkata",800 - 800
Jyoti Memorial Foundation,"Gariahat, Kolkata",700 - 900
Vrindaban Banquet,"Gariahat, Kolkata",1000 - 1200
CO OP Banquet Hall,"Gariahat, Kolkata",500 - 700
Park Palace Hotel,"Gariahat, Kolkata","1,00,000"
Chowdhury House,"Gariahat, Kolkata",850 - 950
