Venue Name,Venue Location,Price per Plate
Sri nidhi joy n joy club and Resorts,"Ghatkesar, Hyderabad",755 - 855
Blu Thunder Water Park Resort,"Ghatkesar, Hyderabad",578 - 840
KSNR Gardens,"Ghatkesar, Hyderabad","70,000"
PPR Convention,"Ghatkesar, Hyderabad","4,80,000"
Narayana Garden,"Ghatkesar, Hyderabad","1,50,000"
CH Laxmi Gardens,"Ghatkesar, Hyderabad","90,018"
JK Convection Hall,"Ghatkesar, Hyderabad","3,15,000"
Bandhan Function Hall,"Ghatkesar, Hyderabad","40,000"
DSR Gardens function Hall,"Ghatkesar, Hyderabad","50,000"
Village Trails Resort,"Ghatkesar, Hyderabad","50,000"
Rock Enclave Convention Center,"Ghatkesar, Hyderabad","1,30,005"
KM Gardens,"Ghatkesar, Hyderabad","50,000"
