Venue Name,Venue Location,Price per Plate
Classic Comfort Hotel,"Goregaon East, Mumbai",700 - 1100
Brijwasi Palace Banquet hall,"Goregaon East, Mumbai",400
The Royal Dudes,"Goregaon East, Mumbai",550 - 701
Royal Challenge,"Goregaon East, Mumbai",800 - 900
Jayaleela Banquets,"Goregaon East, Mumbai",400 - 400
Wade Villas Lawn,"Goregaon East, Mumbai",450 - 650
Nesco foods Pvt Ltd,"Goregaon East, Mumbai",400 - 400
Green Valley Farm,"Goregaon East, Mumbai","95,000"
"Sun Villa Lawn, Mumbai","Goregaon East, Mumbai",450 - 550
SRPF Ground,"Goregaon East, Mumbai","1,00,000"
