Venue Name,Venue Location,Price per Plate
The ROYALENS,"Gt Karnal Road Industrial Area, Delhi Ncr",1000 - 1100
Green Lounge Fusion Banquet,"Gt Karnal Road Industrial Area, Delhi Ncr",1500 - 1750
The Black Diamond Kailash Hall,"Gt Karnal Road Industrial Area, Delhi Ncr",800 - 1000
Star Banquets Hall 1,"Gt Karnal Road Industrial Area, Delhi Ncr","1,300"
The Grace Banquet,"Gt Karnal Road Industrial Area, Delhi Ncr",1200 - 1400
Floriana Banquet,"Gt Karnal Road Industrial Area, Delhi Ncr","1,300"
La Maurya Banquet Hall 2,"Gt Karnal Road Industrial Area, Delhi Ncr","1,368"
Invitation Ceremonial,"Gt Karnal Road Industrial Area, Delhi Ncr",600 - 600
Atlantis Park Ballroom,"Gt Karnal Road Industrial Area, Delhi Ncr","1,400"
Amber by eleven course,"Gt Karnal Road Industrial Area, Delhi Ncr",500 - 700
Rajwada Palace 1,"Gt Karnal Road Industrial Area, Delhi Ncr","1,000"
