Venue Name,Venue Location,Price per Plate
Tamanna Hotel,"Hinjawadi, Pune",700 - 701
Mezza9 Banquet,"Hinjawadi, Pune",655 - 855
"Hilton Garden Inn,Hijewadi","Hinjawadi, Pune",1700 - 2200
Vivanta Pune,"Hinjawadi, Pune",1618 - 1818
Hotel Grand Tamanna,"Hinjawadi, Pune",800 - 1100
Zip by Spree Spine Hotel,"Hinjawadi, Pune",1000 - 1300
Rajmudra Banquets,"Hinjawadi, Pune",900
Hotel Lxia,"Hinjawadi, Pune",750 - 850
"Celebration Point, Hinjewadi","Hinjawadi, Pune",550 - 600
Hotel TipTop International,"Hinjawadi, Pune","1,500"
Radisson Blu Pune Hinjawadi,"Hinjawadi, Pune",450
RAMADA PLAZA,"Hinjawadi, Pune","1,25,000"
Rajmudra Convention Hall,"Hinjawadi, Pune","1,00,000"
