Venue Name,Venue Location,Price per Plate
Novotel Gardens,"Hitec City, Hyderabad",2000 - 2500
Deccan Serai hotel Cilantro,"Hitec City, Hyderabad",750 - 900
Hotel B Plus L,"Hitec City, Hyderabad",600 - 725
IBIS Hotel,"Hitec City, Hyderabad",1499 - 1499
I Stay Hotels,"Hitec City, Hyderabad",825 - 943
V Convention,"Hitec City, Hyderabad",1652 - 1888
Prowell Grill Banquet hall 2,"Hitec City, Hyderabad",442 - 501
Rain Tr33 Hotel,"Hitec City, Hyderabad",500 - 650
Sri Sai Garden Function Hall,"Hitec City, Hyderabad","2,28,800"
FAB Express Gardern,"Hitec City, Hyderabad","70,010"
