Venue Name,Venue Location,Price per Plate
Hotel City Centre Residency,"Indira Nagar, Bangalore",367 - 472
Sri Udupi Party Hall,"Indira Nagar, Bangalore",324
S R Reddy Convention Center Raichur,"Indira Nagar, Bangalore",500 - 700
Nandhana Palace,"Indira Nagar, Bangalore",367 - 472
9 Marks Inn,"Indira Nagar, Bangalore",531 - 649
Zaitoon Khayal Banquet Hall,"Indira Nagar, Bangalore",531 - 649
Ahmed Function Hall Raichur,"Indira Nagar, Bangalore",499 - 700
Rendezvous The Party Hall,"Indira Nagar, Bangalore",577 - 682
New Shanthi Sagar Party Hall 4,"Indira Nagar, Bangalore",288
Punkah House Mini Hall,"Indira Nagar, Bangalore",1100 - 1250
Nevermind Social Mini Hall,"Indira Nagar, Bangalore",750 - 950
Gokul Kuteera Banquet Hall,"Indira Nagar, Bangalore",268
Swing Grub Mini Hall,"Indira Nagar, Bangalore","60,000"
