Venue Name,Venue Location,Price per Plate
PC Chandra Garden,"Jadavpur, Kolkata",850 - 1050
Rangan Reception Hall,"Jadavpur, Kolkata",800 - 950
Boltota Farms,"Jadavpur, Kolkata",1000 - 1200
Hotel Pawan Putra,"Jadavpur, Kolkata",450 - 650
Hotel Mulberry,"Jadavpur, Kolkata",700 - 850
Charulata Bhavan,"Jadavpur, Kolkata",400 - 750
Phanibhusan Bhavan Marriage Hall,"Jadavpur, Kolkata",600 - 700
Mohan Bhavan Hall,"Jadavpur, Kolkata",500 - 600
Barisha Club Community Hall,"Jadavpur, Kolkata",700 - 850
Ghoshbaari,"Jadavpur, Kolkata",600 - 750
Milan Mahal,"Jadavpur, Kolkata","70,000"
Swastik Marriage Hall,"Jadavpur, Kolkata","15,000"
Hotel Coco Inn Banquet Hall,"Jadavpur, Kolkata","25,000"
