Venue Name,Venue Location,Price per Plate
AMC Palace Hall,"Jayanagar, Bangalore","65,000"
GNR Kalyana Mantapa,"Jayanagar, Bangalore","3,00,000"
Sri Kuchalamba Kalyana Mahal,"Jayanagar, Bangalore","3,40,018"
Hotel Kandi Tree,"Jayanagar, Bangalore",498 - 708
La Marvella Saarangi,"Jayanagar, Bangalore",1155 - 1365
Celebrations Banquet,"Jayanagar, Bangalore",523 - 628
Sky Marvella,"Jayanagar, Bangalore",1155 - 1365
Pai Viceroy - Sammilan,"Jayanagar, Bangalore",603
Star Banquet Hall,"Jayanagar, Bangalore",630 - 735
Lalitha Hall,"Jayanagar, Bangalore","70,000"
RK Banquet Hall,"Jayanagar, Bangalore",472
The Royal Comfort Premium Hotel Palladium Hall 1,"Jayanagar, Bangalore",767
Sanman Gardenia Party Hall,"Jayanagar, Bangalore",500
Akshaya Lalbagh Inn,"Jayanagar, Bangalore",472
Lords Eco Inn at Jayanagar,"Jayanagar, Bangalore",472 - 577
Nandhini Banquet Hall,"Jayanagar, Bangalore",367 - 472
Opal Banquet Hall at The President Hotel,"Jayanagar, Bangalore",590 - 826
Coastal Party Hall,"Jayanagar, Bangalore",413 - 531
Golden Gate By SFO Hotel and Suites,"Jayanagar, Bangalore",560 - 767
AMS Party Hall,"Jayanagar, Bangalore",30000 - 30000
Onyx International Hotel Banquet Hall 1,"Jayanagar, Bangalore",350 - 550
Sri Sai Party Hall,"Jayanagar, Bangalore",25018 - 25018
Pavan Dhama,"Jayanagar, Bangalore",8700 - 8700
Samskruthi Banquet Hall,"Jayanagar, Bangalore",605
