Venue Name,Venue Location,Price per Plate
Cochin Palace - Oriental Ballad,"Kadavanthra, Kochi",531 - 590
Olive Downtown Athena Hall,"Kadavanthra, Kochi",649 - 767
Radisson Blu Kochi Convention Hall,"Kadavanthra, Kochi",590 - 708
Niko Hotel,"Kadavanthra, Kochi",500 - 700
Hotel Dcandelier Lumiere hall,"Kadavanthra, Kochi",250 - 350
Palaaram traditions,"Kadavanthra, Kochi",413 - 472
Hotel Grand Season,"Kadavanthra, Kochi",531 - 649
Anjantha Regency,"Kadavanthra, Kochi",170 - 270
Lions Community Hall - Lotus Hall,"Kadavanthra, Kochi",On Request
Dr Alexander Marthoma Hall,"Kadavanthra, Kochi","70,000"
Fatima Roman Catholic Church Parish Hall,"Kadavanthra, Kochi","45,000"
Nanda Inn,"Kadavanthra, Kochi","45,000"
Olive Hotel,"Kadavanthra, Kochi","2,70,000"
