Venue Name,Venue Location,Price per Plate
Reccaa Club,"Kakkanad, Kochi",650 - 650
The Blooms Cochin - Blooms Clove Hall,"Kakkanad, Kochi",420 - 550
Novotel Kochi Infopark champagane,"Kakkanad, Kochi",979 - 1179
Hotel Hill View Senate,"Kakkanad, Kochi",472 - 590
1947 Indian Restaurant,"Kakkanad, Kochi",295 - 566
Hotel Park Residency - Monitor Hall,"Kakkanad, Kochi",472 - 531
Meginlands,"Kakkanad, Kochi",448 - 472
The Diwans Durbar,"Kakkanad, Kochi",354 - 495
Tower 21 Regency,"Kakkanad, Kochi",100 - 150
The Dunes Continental Banquet Hall,"Kakkanad, Kochi",550 - 650
Empire Plaza,"Kakkanad, Kochi",354 - 472
Emza recidency,"Kakkanad, Kochi",200 - 350
Four Points By Sheraton Kochi Infopark Cinnamon,"Kakkanad, Kochi",1547 - 1347
Novotel Hotel And Marraige Hall,"Kakkanad, Kochi",1018 - 1218
St Michaels Parish Hall Vazhakala,"Kakkanad, Kochi","4,000"
J and R Convention Center,"Kakkanad, Kochi",On Request
Thrikkakara Municipality Community Hall,"Kakkanad, Kochi","50,000"
MRA Hall,"Kakkanad, Kochi","15,000"
Maria Convention Center,"Kakkanad, Kochi","1,25,000"
