Venue Name,Venue Location,Price per Plate
Club Verde Vist,"Kalikapur, Kolkata",918 - 1218
Addy House,"Kalikapur, Kolkata",650 - 750
Rejoiure Banquet,"Kalikapur, Kolkata",400 - 600
R S Bhawan,"Kalikapur, Kolkata",400 - 500
Grihasree Marriage Hall,"Kalikapur, Kolkata",800 - 1000
Aquatic Palace Hotel,"Kalikapur, Kolkata",800 - 1000
Rajmahal JRT Assembly Lawn,"Kalikapur, Kolkata",800 - 1000
Shubhayan Marriage House,"Kalikapur, Kolkata",800 - 1000
Pratimas Bandhan Banquet,"Kalikapur, Kolkata",700 - 900
Smriti Mahal,"Kalikapur, Kolkata",550 - 675
Harry Inn,"Kalikapur, Kolkata",1200 - 1500
RC Banquet and Guest House,"Kalikapur, Kolkata","18,000"
