Venue Name,Venue Location,Price per Plate
New Udupi Upahar Party Hall,"Kalyan Nagar, Bangalore",318
Petals Party hall,"Kalyan Nagar, Bangalore",500 - 650
Hotel Jamayca Mini Hall,"Kalyan Nagar, Bangalore",500 - 600
Dropouts Mini Hall,"Kalyan Nagar, Bangalore",700 - 800
Sri Guru Party Hall,"Kalyan Nagar, Bangalore","20,000"
Sri chiru party hall,"Kalyan Nagar, Bangalore","30,000"
Shrichiru Party Hall,"Kalyan Nagar, Bangalore","58,000"
Noorani Function Hall,"Kalyan Nagar, Bangalore","20,018"
Amma Maheshwari Garden,"Kalyan Nagar, Bangalore","95,018"
Aziza Palace,"Kalyan Nagar, Bangalore","23,018"
MRK Convention Center,"Kalyan Nagar, Bangalore","9,65,018"
Orra Powered By Galarien,"Kalyan Nagar, Bangalore","29,999"
Zamindar Restaurant,"Kalyan Nagar, Bangalore","15,000"
Konkan Samudhai Bhavan,"Kalyan Nagar, Bangalore","75,000"
Konkan Samudhai Bhawan,"Kalyan Nagar, Bangalore","80,000"
