Venue Name,Venue Location,Price per Plate
Silver Petals Banquet,"Karkardooma, Delhi Ncr",600 - 600
La Cordiall,"Karkardooma, Delhi Ncr","1,200"
New Pindi Tent and Caterers,"Karkardooma, Delhi Ncr",1200 - 1400
Ideal Palace,"Karkardooma, Delhi Ncr","1,000"
Woodapple Residency,"Karkardooma, Delhi Ncr",899 - 1099
ACE Residency,"Karkardooma, Delhi Ncr",1000 - 1500
Hotel White Klove Comfort,"Karkardooma, Delhi Ncr",400 - 2000
Krishna Cottage Hall,"Karkardooma, Delhi Ncr","1,018"
CBD Ground Shahdara,"Karkardooma, Delhi Ncr",1000 - 1300
Gurmeet's Banquets,"Karkardooma, Delhi Ncr",1200 - 1500
Amor Banquet,"Karkardooma, Delhi Ncr",1518 - 18
Silver Petals Banquet Hall,"Karkardooma, Delhi Ncr",950
Krsna Cottage,"Karkardooma, Delhi Ncr","60,000"
Rajkamal Banquet Hall,"Karkardooma, Delhi Ncr","2,30,000"
