Venue Name,Venue Location,Price per Plate
Hotel Kabir Palace,"Karol Bagh, Delhi",800 - 1000
Golden Moments Banquet Lawn,"Karol Bagh, Delhi",1416 - 1780
Hotel Grand Imperial,"Karol Bagh, Delhi",2018 - 2218
BB Palace Hall,"Karol Bagh, Delhi",1218 - 1318
Yug Villa Hall,"Karol Bagh, Delhi",818 - 918
Hotel La Vista Hall 1,"Karol Bagh, Delhi",918 - 1018
Arpit Palace Hall,"Karol Bagh, Delhi",868 - 968
Hotel High 5 Land Hall,"Karol Bagh, Delhi",700 - 850
Hotel Tourist Deluxe Hall,"Karol Bagh, Delhi",650 - 750
United Coffee House,"Karol Bagh, Delhi",750 - 850
Hotel Pals Inn,"Karol Bagh, Delhi",800 - 950
Meet n stay,"Karol Bagh, Delhi",600 - 750
The Royal Pearl,"Karol Bagh, Delhi",650 - 800
Hotel Sun View International Banquet Hall,"Karol Bagh, Delhi",650 - 750
Hotel Sohi Residency,"Karol Bagh, Delhi",700 - 1000
Dewdrop Intercity Hotel Delhi,"Karol Bagh, Delhi",750 - 850
Hotel Pablas International,"Karol Bagh, Delhi",450 - 550
Dream Heritage Banquet,"Karol Bagh, Delhi",1000 - 1300
Hotel Fortuner Hall,"Karol Bagh, Delhi",600 - 700
Alfa Gardens,"Karol Bagh, Delhi",1200 - 1400
Myrah Banquet Hall,"Karol Bagh, Delhi",850 - 1050
Banquet Hall Delhi,"Karol Bagh, Delhi","50,000"
Hotel Sopan Heights,"Karol Bagh, Delhi","25,000"
Hotel Blue Bell,"Karol Bagh, Delhi","65,000"
