Venue Name,Venue Location,Price per Plate
Hotel Abhirami Abhiram,"Kattakkada, Thiruvananthapuram",472 - 531
Vismaya Hotel,"Kattakkada, Thiruvananthapuram",455 - 455
GSN Auditorium Kallikad,"Kattakkada, Thiruvananthapuram","30,000"
TG Auditorium,"Kattakkada, Thiruvananthapuram","30,000"
RK Auditorium,"Kattakkada, Thiruvananthapuram","20,000"
Devi Kalyanamandapam,"Kattakkada, Thiruvananthapuram","50,000"
KGKP HALL,"Kattakkada, Thiruvananthapuram","38,940"
SP Community Hall,"Kattakkada, Thiruvananthapuram","20,000"
Viswambhara Auditorium,"Kattakkada, Thiruvananthapuram","26,000"
Sree Bhadra Community Hall,"Kattakkada, Thiruvananthapuram","5,500"
Kundamoozhi Devi Auditorium,"Kattakkada, Thiruvananthapuram","15,000"
