Venue Name,Venue Location,Price per Plate
Devi Party Hall,"Kengeri, Bangalore","25,000"
Ambari Gardenia Party Hall,"Kengeri, Bangalore",355 - 455
Global West Coast,"Kengeri, Bangalore",368
Urvi Resort,"Kengeri, Bangalore",400 - 800
Maheshwari Farms,"Kengeri, Bangalore",700 - 900
Ambari Gardenia Hall,"Kengeri, Bangalore",600 - 800
Sri Rangalakshmi Party Hall,"Kengeri, Bangalore","25,000"
Sri Sai Palace,"Kengeri, Bangalore","5,06,000"
Sree lakshmi convention hall,"Kengeri, Bangalore","52,000"
SRT Kalyana Mantapa,"Kengeri, Bangalore","53,000"
Sri Manjunatha Convention Hall,"Kengeri, Bangalore","1,15,018"
LNR Lakshmi Kalyana Mantapam,"Kengeri, Bangalore","45,000"
Punam mahal,"Kengeri, Bangalore","3,15,000"
Parvathamma Ramaiah Mangala Bhavana,"Kengeri, Bangalore","6,00,000"
S.C.R Kalyana Mantapa,"Kengeri, Bangalore","1,75,000"
SST Convention Hall,"Kengeri, Bangalore","2,00,000"
