Venue Name,Venue Location,Price per Plate
R K Banquets Hall 1,"Kirti Nagar, Delhi",1000 - 1100
Flavours From Heaven,"Kirti Nagar, Delhi",650 - 750
Wenicia Hotel Banquet Hall,"Kirti Nagar, Delhi",1000 - 1200
Kirti Club Banquet Hall,"Kirti Nagar, Delhi",500 - 700
Shivhare Banquet,"Kirti Nagar, Delhi",1218 - 1418
Sloshout Restaurant,"Kirti Nagar, Delhi",800 - 1000
The Grand Dreams,"Kirti Nagar, Delhi",800 - 1200
Royal Moments Banquet,"Kirti Nagar, Delhi",1200 - 1400
Blessings Party Hall,"Kirti Nagar, Delhi",605 - 805
Grand Affairs Banquet,"Kirti Nagar, Delhi","35,000"
RainTree Banquets,"Kirti Nagar, Delhi","1,00,000"
