Venue Name,Venue Location,Price per Plate
Rajyog Banquet & Lawns,"Kondhwa, Pune",350 - 450
United Paints,"Kondhwa, Pune",850
Crisp And Curry Banquet Hall,"Kondhwa, Pune",750 - 850
Iris Banquet,"Kondhwa, Pune",525 - 630
SILVER STAR HALL,"Kondhwa, Pune",350 - 500
Anusaya Sadba Lonkar Garden,"Kondhwa, Pune",700 - 1000
Hotel Amrai sixty seven,"Kondhwa, Pune",650 - 850
ASK Hall,"Kondhwa, Pune",1500 - 2000
Rajyog Lawns and Banquets,"Kondhwa, Pune",900 - 1200
"Babar Banquet Hall, Kondhwa","Kondhwa, Pune",600 - 800
ASODIT BANQUETS,"Kondhwa, Pune",700 - 800
Omkar Garden,"Kondhwa, Pune","40,000"
Samadhan Lawns,"Kondhwa, Pune",850 - 1000
Utsav Banquet And Lawn 1,"Kondhwa, Pune","76,700"
Welcome Banquet Hall,"Kondhwa, Pune","80,018"
HOTEL ANGARAJ,"Kondhwa, Pune","85,000"
BETO'S BAR KITCHEN HALL 1,"Kondhwa, Pune","1,25,000"
City Lawns,"Kondhwa, Pune","1,50,000"
Navneet Banquet,"Kondhwa, Pune","3,50,000"
CRISP & CURRY Banquets,"Kondhwa, Pune","1,00,000"
Sliver Star Banquet Hall,"Kondhwa, Pune","45,000"
Lonkar lawns,"Kondhwa, Pune","45,000"
SPKJS Nandu Bhavan,"Kondhwa, Pune","3,50,000"
"City Lawns,Pune","Kondhwa, Pune","60,000"
