Venue Name,Venue Location,Price per Plate
Bheemachandra Kala Mantapa Hall,"Koramangala, Bangalore",450
Mangala Kalyana Mantapa,"Koramangala, Bangalore","50,000"
SS Lumina Hotel,"Koramangala, Bangalore",700 - 800
Amber Palace,"Koramangala, Bangalore",800 - 900
Casade Bengaluru,"Koramangala, Bangalore",787 - 945
Nandhana Palace Koramangala,"Koramangala, Bangalore",367 - 472
Anjappar Vellaiammal Party Hall,"Koramangala, Bangalore",300 - 400
APV Banquet Hall,"Koramangala, Bangalore",885 - 1180
Comfy Business Hotel,"Koramangala, Bangalore",649 - 767
37th Crescent Banquet Hall,"Koramangala, Bangalore",650 - 800
Vinaya Coffee Moments,"Koramangala, Bangalore",275
West View By Davanam Sarovar Portico,"Koramangala, Bangalore",1533 - 1533
Wafi Suites Conference Hall,"Koramangala, Bangalore",650 - 850
MHK Function Hall,"Koramangala, Bangalore",15000 - 15000
Pingara Party Hall,"Koramangala, Bangalore",418 - 518
Fennys Lounge And Kitchen,"Koramangala, Bangalore",668 - 768
Grand Mercure Bangalore,"Koramangala, Bangalore",918 - 1218
The Tamara Coorg,"Koramangala, Bangalore",599 - 799
Hotel Aadrika 2,"Koramangala, Bangalore",599 - 799
Hotel Le Coorg,"Koramangala, Bangalore",499 - 799
SRI KRISHNA BANQUET HALL,"Koramangala, Bangalore",599 - 799
Koramangala Social,"Koramangala, Bangalore",700 - 900
Badmaash,"Koramangala, Bangalore",950 - 1200
OHS Banquets,"Koramangala, Bangalore",800 - 900
