Venue Name,Venue Location,Price per Plate
TABLA KPHB,"Kukatpally, Hyderabad",389 - 489
Tabla Hall-1,"Kukatpally, Hyderabad",279 - 359
Chutneys Banquet Hall 1,"Kukatpally, Hyderabad",413 - 708
HOTEL ATC,"Kukatpally, Hyderabad",500 - 575
Vaaraahi Banquet,"Kukatpally, Hyderabad",545 - 645
La Royale Banquet Hal,"Kukatpally, Hyderabad",395 - 499
Vantillu Banquet Hall,"Kukatpally, Hyderabad",413 - 531
Hotel Shubham Celebrations - Flavours,"Kukatpally, Hyderabad",413 - 531
Sweet Magic 1,"Kukatpally, Hyderabad",437 - 555
Moghula Paradise Restaurant And Banquet Hall,"Kukatpally, Hyderabad",550 - 650
NRC Garden,"Kukatpally, Hyderabad",10
Sri Bhramaramba Mallikarjuna Swamy Kalyana Mandapam,"Kukatpally, Hyderabad","4,00,000"
Kolan Vijaya Mohan Reddy Gardens,"Kukatpally, Hyderabad","2,66,000"
Sri Godha Krishna Gardens,"Kukatpally, Hyderabad","2,71,800"
One Place Hotel Hall,"Kukatpally, Hyderabad",300 - 450
MLN Gardens Function Hall,"Kukatpally, Hyderabad","60,000"
Chaitanya Banquet Hall,"Kukatpally, Hyderabad","1,20,000"
Metro Marvel Gardens,"Kukatpally, Hyderabad",On Request
NKNR Gardens Function Halls,"Kukatpally, Hyderabad","50,000"
Tabla Banquets,"Kukatpally, Hyderabad","1,00,000"
Srikanya Comfort Restaurant,"Kukatpally, Hyderabad","25,000"
