Venue Name,Venue Location,Price per Plate
Hotel HariS Court,"Lajpat Nagar, Delhi",800 - 1000
The Oberoi Delhi,"Lajpat Nagar, Delhi",4000 - 4250
Green Carpet Party Lawn 1,"Lajpat Nagar, Delhi",600 - 900
Madhuvan Palace,"Lajpat Nagar, Delhi",600 - 700
Hotel Tryfena,"Lajpat Nagar, Delhi",700 - 800
AISF Hall,"Lajpat Nagar, Delhi",750 - 850
Goyla Grand Banquet,"Lajpat Nagar, Delhi","1,200"
Deewan Regency,"Lajpat Nagar, Delhi",550 - 750
Pulse Impulse Hall 1,"Lajpat Nagar, Delhi",On Request
DDA-Kpm Community Hall,"Lajpat Nagar, Delhi","16,231"
Dda Kpm Community Hall,"Lajpat Nagar, Delhi","50,000"
Grande Banquet Hall,"Lajpat Nagar, Delhi","25,000"
