Venue Name,Venue Location,Price per Plate
Hotel HariS Court,"Lajpat Nagar, Delhi Ncr",800 - 1000
The Oberoi Delhi,"Lajpat Nagar, Delhi Ncr",4000 - 4250
Green Carpet Party Lawn 1,"Lajpat Nagar, Delhi Ncr",600 - 900
Madhuvan Palace,"Lajpat Nagar, Delhi Ncr",600 - 700
Hotel Tryfena,"Lajpat Nagar, Delhi Ncr",700 - 800
AISF Hall,"Lajpat Nagar, Delhi Ncr",750 - 850
Goyla Grand Banquet,"Lajpat Nagar, Delhi Ncr","1,200"
Deewan Regency,"Lajpat Nagar, Delhi Ncr",550 - 750
Pulse Impulse Hall 1,"Lajpat Nagar, Delhi Ncr",On Request
DDA-Kpm Community Hall,"Lajpat Nagar, Delhi Ncr","16,231"
Dda Kpm Community Hall,"Lajpat Nagar, Delhi Ncr","50,000"
Grande Banquet Hall,"Lajpat Nagar, Delhi Ncr","25,000"
