Venue Name,Venue Location,Price per Plate
Tatva Convention and Gardens,"Lb Nagar, Hyderabad",699 - 799
Mourya Grand,"Lb Nagar, Hyderabad",350 - 550
SYN Residency,"Lb Nagar, Hyderabad",413 - 531
Khushal Convention,"Lb Nagar, Hyderabad",472 - 619
Hotel Shubham Celebrations - Flavours,"Lb Nagar, Hyderabad",501 - 619
Sampradhaya Banquets Amravathi,"Lb Nagar, Hyderabad",413 - 531
Hotel Nakshatra Grand,"Lb Nagar, Hyderabad",420 - 578
SVL Arena Convention Center Main Hall,"Lb Nagar, Hyderabad","1,50,000"
Edulakanti Ram Reddy Gardens,"Lb Nagar, Hyderabad",On Request
Telangana Function Hall,"Lb Nagar, Hyderabad","35,000"
A M Kashish Function Plaza Hall 1,"Lb Nagar, Hyderabad","60,000"
Chetlela Krishna Goud Function Hall,"Lb Nagar, Hyderabad","50,000"
Princeton Convention Centre 1,"Lb Nagar, Hyderabad",On Request
Goteti Kalyana Vedika,"Lb Nagar, Hyderabad",On Request
K K Gardens Function Hall,"Lb Nagar, Hyderabad",10
