Venue Name,Venue Location,Price per Plate
The London Curry House,"Majestic, Bangalore",787 - 997
Maharaja Hall at Citadel Hotel,"Majestic, Bangalore",767 - 885
Manpho Cambridge,"Majestic, Bangalore",568 - 1121
J P Cordial Barrister,"Majestic, Bangalore",682 - 892
Hotel City Centaur Cardinal,"Majestic, Bangalore",399 - 467
Hotel Swagath,"Majestic, Bangalore",268 - 368
JP Cordial Hotel,"Majestic, Bangalore",600 - 850
IV Sanctum Hotel Senate,"Majestic, Bangalore",750 - 850
Zion A Luxurious Hotel Infinity Hall,"Majestic, Bangalore",767 - 885
Airport Residency,"Majestic, Bangalore",600 - 1500
Regal Hall,"Majestic, Bangalore","10,000"
Majestic Convention Hall,"Majestic, Bangalore","47,000"
