Venue Name,Venue Location,Price per Plate
Starlit Suites - Pool Side,"Maradu, Kochi",472 - 649
BTH Sarovaram Kailasam,"Maradu, Kochi",531
Sugar Business Hotel Cilantro,"Maradu, Kochi",590 - 708
Leisure Inn,"Maradu, Kochi",590 - 767
The Wyte Fort Jharokha,"Maradu, Kochi",531 - 590
Crown Plaza,"Maradu, Kochi",1000 - 1200
Banquet One,"Maradu, Kochi",767 - 1003
Le Meridien Oman Hall,"Maradu, Kochi",1062 - 1357
Le Meridien Banquet Hall,"Maradu, Kochi",1062 - 1357
Abad Symphony Hall,"Maradu, Kochi","2,83,200"
Mia Riaan Resort,"Maradu, Kochi",220 - 420
Nandanam Hall,"Maradu, Kochi","1,03,500"
Miya Riaan Resort,"Maradu, Kochi","40,000"
Cheraman Convention Center,"Maradu, Kochi","35,000"
Thomaspuram Community Hall,"Maradu, Kochi","36,500"
Vakelachan Auditorium,"Maradu, Kochi","25,000"
