Venue Name,Venue Location,Price per Plate
Star Function Hall,"Mehdipatnam, Hyderabad","25,000"
Arsh Banquet Hall,"Mehdipatnam, Hyderabad","30,000"
Orchids The Banquet Hall,"Mehdipatnam, Hyderabad",475 - 675
Gold Horn Banquet Hall,"Mehdipatnam, Hyderabad",500 - 700
M N Convention Hall,"Mehdipatnam, Hyderabad","25,000"
Milap Garden Function Hall,"Mehdipatnam, Hyderabad","1,38,000"
Golkonda Garden Function Hall,"Mehdipatnam, Hyderabad","45,000"
Shakeel Function Plaza,"Mehdipatnam, Hyderabad","30,000"
NFS Banquet Hall,"Mehdipatnam, Hyderabad","30,000"
KHK Function Hall,"Mehdipatnam, Hyderabad","30,000"
MP Garden Function Hall,"Mehdipatnam, Hyderabad","75,000"
Banjara function hall,"Mehdipatnam, Hyderabad","1,10,018"
KRKM Gardens Hall,"Mehdipatnam, Hyderabad","75,000"
Amaan Function Hall,"Mehdipatnam, Hyderabad","50,000"
Mughals Banquet Hall,"Mehdipatnam, Hyderabad","60,000"
Roop Garden Function Hall,"Mehdipatnam, Hyderabad","25,000"
Blue Bird Function Palace,"Mehdipatnam, Hyderabad","1,50,000"
Darul Aman Function Hall,"Mehdipatnam, Hyderabad","80,000"
The Regal Banquet hall,"Mehdipatnam, Hyderabad","1,20,000"
Orchids Palace,"Mehdipatnam, Hyderabad","2,00,000"
Royal Regency Gardens,"Mehdipatnam, Hyderabad","2,00,000"
