Venue Name,Venue Location,Price per Plate
Jaibhavani Banquet Hall,"Moula Ali, Hyderabad",550 - 650
New India Function Hall,"Moula Ali, Hyderabad","1,10,000"
Parivaar Banquet Hall,"Moula Ali, Hyderabad",400 - 500
Colours Function Hall,"Moula Ali, Hyderabad","80,000"
Katikaneni Saraswathi Function Hall,"Moula Ali, Hyderabad","2,01,000"
Royal Function Hall,"Moula Ali, Hyderabad","40,000"
Sri Sai Meera Function Hall,"Moula Ali, Hyderabad","1,59,600"
Kailasa Giri Lakshmi Narasimha Swami Kalyana Mandapam,"Moula Ali, Hyderabad","80,000"
Sree Kutch Kadava Patidar Samaj,"Moula Ali, Hyderabad","1,00,000"
IDRS Mini Function Hall,"Moula Ali, Hyderabad","15,000"
786 Garden Function Hall,"Moula Ali, Hyderabad","60,000"
