Venue Name,Venue Location,Price per Plate
Kochakkon Memorial Auditorium Keecherippady,"Muvattupuzha, Kochi","30,000"
Hotel SAJ International - Season Hall,"Muvattupuzha, Kochi",708 - 826
Wetzlar Resorts And Hotels Banquet Hall,"Muvattupuzha, Kochi",472 - 590
Raj Riveria,"Muvattupuzha, Kochi",350 - 500
Parays Residency,"Muvattupuzha, Kochi",472 - 649
Hotel Kabani Regency,"Muvattupuzha, Kochi",550 - 600
VS Residency,"Muvattupuzha, Kochi",300 - 350
Excalibur Hotels and Resorts Banquet Hall,"Muvattupuzha, Kochi",750 - 750
Joyees Inn Banquet Hall,"Muvattupuzha, Kochi",650 - 750
Eat And Drink Banquet Hall,"Muvattupuzha, Kochi",450 - 550
Swarya Residency Banquet Hall,"Muvattupuzha, Kochi",650 - 750
Sunstar Residency Food Plaza Pala Banquet Hall,"Muvattupuzha, Kochi",650 - 750
Hotel Anjali Park Banquet Hall,"Muvattupuzha, Kochi",750 - 850
Club Mahindra Resort Thekkady Banquert Hall,"Muvattupuzha, Kochi",950 - 1050
Paray Banquet Hall,"Muvattupuzha, Kochi",650 - 750
Chinnas Auditorium,"Muvattupuzha, Kochi","55,000"
Kabani Palace,"Muvattupuzha, Kochi",650 - 708
Kaniyamparambil Convention Centre,"Muvattupuzha, Kochi","40,000"
Sams Gardens Auditorium,"Muvattupuzha, Kochi","15,000"
Vajra convention centre,"Muvattupuzha, Kochi","1,20,000"
Jacobs convention centre mini hall,"Muvattupuzha, Kochi","50,000"
Darsana Auditorium,"Muvattupuzha, Kochi","30,000"
Biofarm Open Lawn,"Muvattupuzha, Kochi","40,000"
Hotel Raj Regent Banquet Hall,"Muvattupuzha, Kochi",725
