Venue Name,Venue Location,Price per Plate
The Club Greenery,"Mysore Road, Bangalore",354 - 643
Ruppis Hotel and Resort Banquet Hall,"Mysore Road, Bangalore",767 - 1180
The Garden Asia Resort 1st Lawn,"Mysore Road, Bangalore",999 - 999
Shree Royal Airavatha Convention,"Mysore Road, Bangalore",410
Hotel Sandesh The Prince,"Mysore Road, Bangalore",699 - 899
Vijayalakshmi Party Hall,"Mysore Road, Bangalore","40,000"
Sri Krishna Nandagokula Party Hall,"Mysore Road, Bangalore",350
Abdul Wahid Function Hall 2,"Mysore Road, Bangalore",599 - 799
H K Function hall,"Mysore Road, Bangalore",800 - 1000
Rosetta by Ferns,"Mysore Road, Bangalore",800 - 950
Vattika Vegetarian Restaurant,"Mysore Road, Bangalore",850 - 1050
White Palace Convention Hall,"Mysore Road, Bangalore","6,00,000"
Sri HD Devegowda Samudaya Bhavana,"Mysore Road, Bangalore","45,018"
Sri Mahadeshwara Marriage Hall,"Mysore Road, Bangalore","95,018"
Sri Chikkamma Bhavan,"Mysore Road, Bangalore","50,018"
MR Convention Hall,"Mysore Road, Bangalore","4,00,000"
M Siri Convention Hall,"Mysore Road, Bangalore","1,00,000"
