Venue Name,Venue Location,Price per Plate
Royal Blue,"Nangloi, Delhi",1500 - 1600
August Hue,"Nangloi, Delhi",900 - 1100
Karan vatika,"Nangloi, Delhi",600 - 600
The Victorian Palace,"Nangloi, Delhi",800 - 900
Royal Palace Banquet,"Nangloi, Delhi",2000 - 2000
Manhar Banquet,"Nangloi, Delhi",550
Himanshi Garden,"Nangloi, Delhi","94,400"
Fauji Vatika Hall,"Nangloi, Delhi","81,018"
Amar Vatika,"Nangloi, Delhi","1,18,000"
Sahil Vatika,"Nangloi, Delhi","85,000"
Choudhary Garden Open Lawn 1,"Nangloi, Delhi","80,000"
Gajanan vatika,"Nangloi, Delhi","1,50,000"
Bansal vatika,"Nangloi, Delhi","45,000"
