Venue Name,Venue Location,Price per Plate
Sheesh Mahal Barat Ghar,"Naraina, Delhi Ncr",2300 - 2500
Hotel Twin Tree,"Naraina, Delhi Ncr",1 - 1
The Grace,"Naraina, Delhi Ncr",1600 - 1800
A One Banquet,"Naraina, Delhi Ncr",900 - 1100
Royal Moments,"Naraina, Delhi Ncr",900 - 1100
Palm Springs Lawn,"Naraina, Delhi Ncr",1150 - 1350
Petal Banquet Hall,"Naraina, Delhi Ncr",1000 - 1500
Hotel Picasso Prive,"Naraina, Delhi Ncr",900 - 1100
SK Crown Park Hall 1,"Naraina, Delhi Ncr",1200 - 1350
Azalea Banquet Hall 1,"Naraina, Delhi Ncr",900 - 1000
Anila Boutique Hotel,"Naraina, Delhi Ncr",1300 - 1400
Batra Banquets Pvt Ltd,"Naraina, Delhi Ncr",750 - 850
Hotel Liv Inn,"Naraina, Delhi Ncr","15,000"
