Venue Name,Venue Location,Price per Plate
Shrushti The Village resort,"Navi Mumbai, Mumbai",705 - 805
Marine Centre Hall,"Navi Mumbai, Mumbai",450
Pouva Deck Hall,"Navi Mumbai, Mumbai",650 - 750
The Frontier Banquets,"Navi Mumbai, Mumbai",1000 - 1200
Veg Planet Mini Hall,"Navi Mumbai, Mumbai",450
Country Inn Suites Hall,"Navi Mumbai, Mumbai",900 - 1050
The Classic Banquet Hall,"Navi Mumbai, Mumbai",450 - 550
Bliss Banquet,"Navi Mumbai, Mumbai",750 - 850
Hotel Highway View,"Navi Mumbai, Mumbai",700 - 800
270 Degrees West Hall,"Navi Mumbai, Mumbai",750 - 850
"Chandan Banquet Hall, Mumbai","Navi Mumbai, Mumbai",1250 - 1550
Mudra Banquet Hall,"Navi Mumbai, Mumbai",450 - 550
"Sharda Sadan, Kharghar","Navi Mumbai, Mumbai",350
Devanshi Inn Panvel,"Navi Mumbai, Mumbai",850 - 950
"The Atrangii House, Mumbai","Navi Mumbai, Mumbai",700 - 800
"Sharda Sadan, Mumbai","Navi Mumbai, Mumbai",300
"Mango Hotels, Airoli","Navi Mumbai, Mumbai",700 - 800
"Kainat Wedding Hall, Navi Mumbai","Navi Mumbai, Mumbai",850 - 1050
"Ashraya Banquet Hall, Mumbai","Navi Mumbai, Mumbai",700
Vista Banquet Hall,"Navi Mumbai, Mumbai",550 - 650
Hotel Crown Inn,"Navi Mumbai, Mumbai",500 - 600
Vista Inn Hall,"Navi Mumbai, Mumbai",550 - 650
Sahyog Banquet Hall,"Navi Mumbai, Mumbai","45,000"
Swami Samarth Banquet Hall,"Navi Mumbai, Mumbai","50,000"
