Venue Name,Venue Location,Price per Plate
Lotus 8 Hotels,"Nedumbassery, Kochi",550 - 750
SAJ Earth Resort,"Nedumbassery, Kochi",944 - 1416
Mallus Dhaba,"Nedumbassery, Kochi",350 - 450
Port Muzaris,"Nedumbassery, Kochi",1250 - 1550
Saj Earth Resort and Convention Center,"Nedumbassery, Kochi",1800 - 2000
Cial Convention Center,"Nedumbassery, Kochi","20,000"
Pragathi Retreats Ayurveda Resorts Hall,"Nedumbassery, Kochi","20,000"
Sreekurumbakkav Bhagavathy Auditorium,"Nedumbassery, Kochi","35,000"
Star Convention Center,"Nedumbassery, Kochi","40,000"
Magus Auditorium,"Nedumbassery, Kochi","60,000"
VMG Hall,"Nedumbassery, Kochi","76,300"
