Venue Name,Venue Location,Price per Plate
Sri Bhavani Shankar Party Hall,"Nelamangala, Bangalore",15000 - 15000
CK Palace,"Nelamangala, Bangalore","1,80,000"
Gopi Venkateshwara Kalyana Mantapa,"Nelamangala, Bangalore","80,000"
Omthara Kala Kuteera,"Nelamangala, Bangalore",468
Kanva Star Resorts Banquet Hall 1,"Nelamangala, Bangalore",1298 - 1298
Hotel Garden Gate Party Hall,"Nelamangala, Bangalore",20000 - 20000
Utsav Club and Resort,"Nelamangala, Bangalore",150000 - 150000
Sri Sai Sabha,"Nelamangala, Bangalore",318
Chazing Purple Open Lawn,"Nelamangala, Bangalore",1250 - 1350
Oaks And Ferns Eco Resort,"Nelamangala, Bangalore",1000 - 1200
The Marigold,"Nelamangala, Bangalore",400 - 550
Virata Bhavana Kalyana Mantapa,"Nelamangala, Bangalore",550 - 600
Ankitvista Green Village Resorts,"Nelamangala, Bangalore",1500 - 1750
Aadya Resort,"Nelamangala, Bangalore","2,00,018"
Gubbi Goodu Resort,"Nelamangala, Bangalore","3,00,018"
Sri Sapthagiri Samudaya Bhavana,"Nelamangala, Bangalore","60,000"
VVS Convention Hall,"Nelamangala, Bangalore","80,000"
Pavada Sri Basavanna Devara Mata,"Nelamangala, Bangalore","55,018"
Sri Rudreshwara Prarthana Mandhira,"Nelamangala, Bangalore","55,000"
Lasyas Nest Wedding Lawn,"Nelamangala, Bangalore","2,00,000"
Gubbi Goodu Resorts,"Nelamangala, Bangalore","16,000"
VGSCT Samudaya Bhavana,"Nelamangala, Bangalore","1,20,018"
Balaji Farm House,"Nelamangala, Bangalore","65,000"
Sri Jayadeva Veerashaiva Bhavana,"Nelamangala, Bangalore","1,03,000"
