Venue Name,Venue Location,Price per Plate
Nandanam Park Navaratna,"Palayam, Thiruvananthapuram",413 - 531
Hotel Town Tower,"Palayam, Thiruvananthapuram",472 - 519
Fortune Hotel The South Park Travancore,"Palayam, Thiruvananthapuram",472 - 531
Casa In Restaurant,"Palayam, Thiruvananthapuram",350 - 400
Ocean Restaurant,"Palayam, Thiruvananthapuram",100 - 180
The Residency Tower,"Palayam, Thiruvananthapuram",550 - 675
Adithi Homes,"Palayam, Thiruvananthapuram",17005 - 17005
Chirag inn,"Palayam, Thiruvananthapuram",285 - 305
Calsar Convention Hall,"Palayam, Thiruvananthapuram","20,000"
Al Safa Restaurant,"Palayam, Thiruvananthapuram","35,000"
Hassan Marikar Hall,"Palayam, Thiruvananthapuram","11,100"
Kudappanakunnu Devi Temple Auditorium,"Palayam, Thiruvananthapuram","40,000"
Panakkad Hall,"Palayam, Thiruvananthapuram","15,000"
Bishop Pereira Hall,"Palayam, Thiruvananthapuram","68,000"
