Venue Name,Venue Location,Price per Plate
Shree Banquets,"Panvel, Navi Mumbai",400 - 500
Panchratna Banquet,"Panvel, Navi Mumbai",600 - 800
Tarang Utsav Mandap,"Panvel, Navi Mumbai","1,100"
Karadi Samaj Hall,"Panvel, Navi Mumbai",200
Rasam nx Banquet,"Panvel, Navi Mumbai",550 - 650
Resort Family Adda,"Panvel, Navi Mumbai",1800 - 1800
SSM Banquet Hall,"Panvel, Navi Mumbai","1,200"
"Tiaraa Banquets,Navi Mumbai","Panvel, Navi Mumbai","1,000"
Enans Resort,"Panvel, Navi Mumbai","18,000"
Mahatma Jotiba,"Panvel, Navi Mumbai","40,000"
Genesis Lawns,"Panvel, Navi Mumbai","1,30,000"
Royal Garden Lawns Panvel,"Panvel, Navi Mumbai","1,50,000"
Shan Wedding Lawns Events,"Panvel, Navi Mumbai","1,60,000"
Phoenix Banquet,"Panvel, Navi Mumbai","25,000"
Khandesh Banquet,"Panvel, Navi Mumbai","50,000"
Pushp Vatika Resort Lawns,"Panvel, Navi Mumbai","1,50,000"
