Venue Name,Venue Location,Price per Plate
Sharada Mangal Karyalay,"Parel, Mumbai",On Request
Kshatriya Bhavsar Samaj Hall,"Parel, Mumbai",550
Platinum Banquet Hall,"Parel, Mumbai",550 - 750
South High Mini Hall,"Parel, Mumbai",450 - 550
"Platinum Banquet Hall,Mumbai","Parel, Mumbai",550 - 750
Sunandatai Lokegaonkar Hall,"Parel, Mumbai",300 - 350
Kalash Hall,"Parel, Mumbai",500 - 600
New Hanuman Theatre Mangal Karyalay Banquet Hall,"Parel, Mumbai","38,350"
Bhavsar Sabhagruh,"Parel, Mumbai","50,000"
Abhyudaya Banquet Hall,"Parel, Mumbai","1,00,000"
