Venue Name,Venue Location,Price per Plate
Womens Club Hall,"Pattom, Thiruvananthapuram",17005 - 17005
Hotel Gago Inn,"Pattom, Thiruvananthapuram",442 - 501
Treebo Trend Adrak Hotel,"Pattom, Thiruvananthapuram",354 - 444
Garam Masala Pattom,"Pattom, Thiruvananthapuram",150 - 200
Hotel Libra,"Pattom, Thiruvananthapuram",230 - 320
Pattom Royal Hotel Royal banquet hall,"Pattom, Thiruvananthapuram",472 - 531
Mascot Hotel Symphony,"Pattom, Thiruvananthapuram",767 - 885
Devamrutham Auditorium Dhwani Ac,"Pattom, Thiruvananthapuram",On Request
Grace Mini Hall,"Pattom, Thiruvananthapuram","45,000"
Hotel Chinnus,"Pattom, Thiruvananthapuram","18,000"
Vazhapilleth Hall,"Pattom, Thiruvananthapuram","10,000"
Ridges Hotel,"Pattom, Thiruvananthapuram","60,000"
