Venue Name,Venue Location,Price per Plate
Flora residency,"Perumbavoor, Kochi","15,000"
Embassery Residency,"Perumbavoor, Kochi",350 - 550
Darsanam Tourist Home and conference hall,"Perumbavoor, Kochi",1 - 1
Safa Residency,"Perumbavoor, Kochi",531 - 590
Hotel Dewland,"Perumbavoor, Kochi",472 - 531
Hotel Anjaly International,"Perumbavoor, Kochi",300 - 350
Reem Convention Centre,"Perumbavoor, Kochi","65,000"
Appoos auditorium,"Perumbavoor, Kochi","40,000"
Seema Auditorium,"Perumbavoor, Kochi","80,000"
Moonlet Convention Centre,"Perumbavoor, Kochi","1,00,000"
Indradhanus Auditorium,"Perumbavoor, Kochi","35,000"
St Antonys Church Hall,"Perumbavoor, Kochi",On Request
Thangamalika Auditorium,"Perumbavoor, Kochi",On Request
Kunnathan Residency Jabal Hall,"Perumbavoor, Kochi",On Request
VKS Auditorium,"Perumbavoor, Kochi","28,000"
YMCA keezhilam,"Perumbavoor, Kochi","3,500"
River Front Resort,"Perumbavoor, Kochi","6,000"
Chandys Auditorium,"Perumbavoor, Kochi","30,000"
Mattammel Auditorium,"Perumbavoor, Kochi","27,000"
YMCA Golden Jubilee Hall,"Perumbavoor, Kochi","22,000"
Hamara Auditorium,"Perumbavoor, Kochi","63,000"
Milan Convention Center,"Perumbavoor, Kochi","65,000"
Paachoos Auditorium,"Perumbavoor, Kochi","15,000"
