Venue Name,Venue Location,Price per Plate
The Greetings Banquet Imperial Hall,"Pitampura, Delhi Ncr",1150 - 1350
Raunak Banquet,"Pitampura, Delhi Ncr","1,200"
Blessings The Banquet Hall 1,"Pitampura, Delhi Ncr","1,200"
Khushi Banquet Hall 1,"Pitampura, Delhi Ncr",650
Hotel LA,"Pitampura, Delhi Ncr",1250 - 1850
Sundram L Hall,"Pitampura, Delhi Ncr",800 - 900
Mahawar Vaish Bhawan,"Pitampura, Delhi Ncr",850 - 950
Pacific Asia,"Pitampura, Delhi Ncr",500 - 500
Khushi Party Hall,"Pitampura, Delhi Ncr",650
Chaska Restaurant and Banquets,"Pitampura, Delhi Ncr",850 - 1200
SK Rosella Banquet Hall,"Pitampura, Delhi Ncr",750 - 900
Rajwada Tent,"Pitampura, Delhi Ncr","40,000"
Bhagat Ji Vatika,"Pitampura, Delhi Ncr","55,000"
Green Lounge Pitampura,"Pitampura, Delhi Ncr","2,15,000"
Castle Nouveau by Batra Tents,"Pitampura, Delhi Ncr","60,000"
