Venue Name,Venue Location,Price per Plate
Sarojini Gardens,"Poonamallee, Chennai",318 - 518
Haran Residency,"Poonamallee, Chennai",300 - 400
Sri Ramachandra Thirumana Mahal,"Poonamallee, Chennai","2,77,000"
Sri Ramachandra Thirumana Mahaal,"Poonamallee, Chennai","53,000"
EVP Rajeshwari Marriage Palace,"Poonamallee, Chennai","3,05,000"
Rani Thirumana Mandapam,"Poonamallee, Chennai","1,78,000"
AK Mahal,"Poonamallee, Chennai","1,50,000"
SVV Kalyana Mandapam,"Poonamallee, Chennai","6,00,000"
Navaladi Party Hall,"Poonamallee, Chennai","18,000"
Badri Narayanan Mini Hall,"Poonamallee, Chennai","30,000"
