Venue Name,Venue Location,Price per Plate
Poovar Island Resort,"Poovar, Thiruvananthapuram",1700 - 2100
Club Mahindra Square Lagoon,"Poovar, Thiruvananthapuram",826 - 944
Kayaloram Back Water Resort Open Space,"Poovar, Thiruvananthapuram",900 - 1000
Leela Backwaters inn,"Poovar, Thiruvananthapuram",400 - 750
Over The Hill,"Poovar, Thiruvananthapuram",800 - 1000
Isola Di Cocco Ayurvedic Heritage Beach Resort,"Poovar, Thiruvananthapuram",750 - 750
Hotel Port Palace,"Poovar, Thiruvananthapuram",750 - 900
Havelia Island Resort Open Lawn,"Poovar, Thiruvananthapuram",550 - 650
ESTUARY SAROVAR PREMIERE,"Poovar, Thiruvananthapuram",767 - 767
Manavatty Auditorium,"Poovar, Thiruvananthapuram","40,000"
Anju Auditorium,"Poovar, Thiruvananthapuram","15,000"
RVM Convention Centre,"Poovar, Thiruvananthapuram","35,000"
Koepke Memorial Hall,"Poovar, Thiruvananthapuram","45,000"
Kannya Kalyana Mandapam,"Poovar, Thiruvananthapuram","20,000"
Hotel Geethu International,"Poovar, Thiruvananthapuram","40,000"
SAF Auditorium,"Poovar, Thiruvananthapuram","60,000"
Sumangali Kalyanamandapam,"Poovar, Thiruvananthapuram","95,000"
