Venue Name,Venue Location,Price per Plate
SVR Garden,"Poranki, Vijayawada","80,000"
Murali Resort Function Hall,"Poranki, Vijayawada","65,000"
Springs Banquet Hall,"Poranki, Vijayawada",400 - 400
M Convention Banquet,"Poranki, Vijayawada",600 - 600
Shri Padmavathi Hall 1,"Poranki, Vijayawada",500 - 500
KKR Alapati Gardens,"Poranki, Vijayawada","50,000"
Padmavathi Parinayam,"Poranki, Vijayawada","5,00,000"
Sri Venkateswara Kalyana Mandapam,"Poranki, Vijayawada","25,000"
Dwaraka Residency Banquet Hall,"Poranki, Vijayawada","35,000"
G V Purnachandrarao Community Hall,"Poranki, Vijayawada","50,000"
RamaPriya Convention,"Poranki, Vijayawada","40,000"
Rama Priya Convention,"Poranki, Vijayawada","56,018"
