Venue Name,Venue Location,Price per Plate
Benaka Party Hall,"Rajajinagar, Bangalore",350 - 450
Hotel Vande Matharam,"Rajajinagar, Bangalore",350
Iskcon Mantapa,"Rajajinagar, Bangalore",800 - 1000
Shiva Prabha Kalyana Mantapa Hall,"Rajajinagar, Bangalore",550
Shivaals Residency Hall,"Rajajinagar, Bangalore",450
Shree Sharana Seva Samaja Community Hall,"Rajajinagar, Bangalore",300
District Pub Mini Hall,"Rajajinagar, Bangalore",550 - 650
Sri Sreekanteshwara Kalyana Mantapa,"Rajajinagar, Bangalore","15,000"
Aarpee Ashraya Kalyana Mantapa,"Rajajinagar, Bangalore","55,000"
Sri Nandi Convention Hall,"Rajajinagar, Bangalore","40,000"
Basava Kanthi Mandapam Hall,"Rajajinagar, Bangalore","55,000"
Abhimani Vasathi Hotel Hall,"Rajajinagar, Bangalore","60,000"
