Venue Name,Venue Location,Price per Plate
Hotel Pai Viceroy,"Ramchandra Nagar, Tirupati",
Fortune Kences Hotel,"Ramchandra Nagar, Tirupati",
Renest Tirupati,"Ramchandra Nagar, Tirupati",
CS Convention Banquet Hall,"Ramchandra Nagar, Tirupati",
SPM Function Hall,"Ramchandra Nagar, Tirupati",
PSR Kalyana Mandapam,"Ramchandra Nagar, Tirupati",
PLR Convention Centre,"Ramchandra Nagar, Tirupati",
Raju Convention Hall,"Ramchandra Nagar, Tirupati",
Lakshmi venkateshwara Function Hall,"Ramchandra Nagar, Tirupati",
SR Convention,"Ramchandra Nagar, Tirupati",
KJKP Function Hall,"Ramchandra Nagar, Tirupati",
Best Western Function Hall,"Ramchandra Nagar, Tirupati",
SV Kalyana Mandapam,"Ramchandra Nagar, Tirupati",
Manasa Inn Function Hall,"Ramchandra Nagar, Tirupati",
CPI Function Hall,"Ramchandra Nagar, Tirupati",
Rupa Residency Mini Function Hall,"Ramchandra Nagar, Tirupati",
Sindhuri Park Banquet Hall,"Ramchandra Nagar, Tirupati",
Sravanthy Inn Brundavanam Function Hall,"Ramchandra Nagar, Tirupati",
