Venue Name,Venue Location,Price per Plate
Sri Natarajaa Thirumana Mandapam,"Red Hills, Chennai","1,60,000"
Dhanalakshmi Mahal,"Red Hills, Chennai","1,60,000"
Parkavakula Udayar Marriage Hall,"Red Hills, Chennai","1,00,000"
PSR Mahal,"Red Hills, Chennai","50,000"
Lakshmi Mahal Ac,"Red Hills, Chennai","65,000"
Sri Lakshmi Mahal,"Red Hills, Chennai","25,000"
SR Mahal,"Red Hills, Chennai","48,000"
JJ Paradise Marriage Hall,"Red Hills, Chennai","2,25,000"
NSR Mahal Party Hall AC,"Red Hills, Chennai","40,000"
Thanigai Mahal,"Red Hills, Chennai","45,000"
Jothi Renuga Marriage Hall,"Red Hills, Chennai","70,000"
