Venue Name,Venue Location,Price per Plate
Srishti Vatika Farmhouse,"Rohtak, Delhi","1,20,000"
The Grand Lagan Hotel And Banquet Hall 1,"Rohtak, Delhi","90,000"
The ParkQueen Hotels Resort,"Rohtak, Delhi",1705 - 2005
The Catalina Hotel,"Rohtak, Delhi","1,500"
Hotel Maharaja,"Rohtak, Delhi",850 - 950
KCM Motel,"Rohtak, Delhi",800 - 1000
Dreamz Party Hall,"Rohtak, Delhi",500
Hotel Rivoli Hall 1,"Rohtak, Delhi",750 - 750
The Radiant Lawns and Banquet,"Rohtak, Delhi",900 - 900
Rajesh Party Hall,"Rohtak, Delhi",800 - 1000
SURYA MARRIAGE GARDEN HALL,"Rohtak, Delhi",800 - 1000
Galaxy Garden,"Rohtak, Delhi",700 - 850
Utsav Hotel,"Rohtak, Delhi",550 - 1000
Raj Marriage Palace,"Rohtak, Delhi",950 - 1050
Royal Paradise Banquets And Party Lawn,"Rohtak, Delhi",950 - 1050
The Gazania Marriage Hall,"Rohtak, Delhi",1200 - 1500
Green Island Resorts,"Rohtak, Delhi",500 - 800
Millenium Palace,"Rohtak, Delhi","80,000"
The singhasan jind,"Rohtak, Delhi","30,000"
Kalinga Grand,"Rohtak, Delhi","15,000"
Shri Krishna Palace,"Rohtak, Delhi","96,000"
The Heritage Palace,"Rohtak, Delhi","50,000"
Garima Garden,"Rohtak, Delhi",505 - 605
Ramaya The Boutique Hotel,"Rohtak, Delhi","20,000"
