Venue Name,Venue Location,Price per Plate
Padmavathi Kalyana Mandapam Hall 2,"Simhachalam, Visakhapatnam","32,000"
Sri Swamy Kalyanamandapam,"Simhachalam, Visakhapatnam","2,20,000"
Simha Grand,"Simhachalam, Visakhapatnam","1,90,000"
K Convention Hall,"Simhachalam, Visakhapatnam","50,000"
Maruthi Function Hall,"Simhachalam, Visakhapatnam","60,000"
VLN Function Hall,"Simhachalam, Visakhapatnam","16,50,000"
SNR Function Hall 1,"Simhachalam, Visakhapatnam","1,60,000"
Sri Gandha Nivas Function Hall,"Simhachalam, Visakhapatnam","60,000"
Vasudeva Function Plaza,"Simhachalam, Visakhapatnam","2,40,000"
Sri Sai Kalyanamandapam,"Simhachalam, Visakhapatnam","50,000"
Sri Pavan Kalyanamandapam,"Simhachalam, Visakhapatnam","36,000"
Aruna Kalyana Mandapam,"Simhachalam, Visakhapatnam","60,000"
V Function Hall,"Simhachalam, Visakhapatnam","90,000"
Sri Gowri Function Hall,"Simhachalam, Visakhapatnam","78,000"
Madhavi Kalayana Mandapam,"Simhachalam, Visakhapatnam","25,000"
Jagadamba Function Hall,"Simhachalam, Visakhapatnam","40,000"
Sri Rama Function Hall,"Simhachalam, Visakhapatnam","30,000"
Srinivasa Function Hall,"Simhachalam, Visakhapatnam","40,000"
Siri Chandana Kalyan Mandapam,"Simhachalam, Visakhapatnam","15,000"
Sree Narasimha Kalyana Mandapam,"Simhachalam, Visakhapatnam","15,000"
Sri Krishna Mini Function Hall Lawn,"Simhachalam, Visakhapatnam","12,000"
Sri Vasavi Kalyana Mandapam AC,"Simhachalam, Visakhapatnam","35,000"
S Function Hall,"Simhachalam, Visakhapatnam","50,000"
Aruna Kalyana Mandapam,"Simhachalam, Visakhapatnam","25,000"
