Venue Name,Venue Location,Price per Plate
Jalpaan Banquet,"Somajiguda, Hyderabad",767
Katriya Hotel and Towers Vijayanagara 1,"Somajiguda, Hyderabad",885 - 1153
Hotel Inner Circle-1,"Somajiguda, Hyderabad",531
Hotel NKMs Grand Tara,"Somajiguda, Hyderabad",500 - 600
The Park Hyderabad Conference Room,"Somajiguda, Hyderabad",950 - 1150
Kshetra Banquet 1,"Somajiguda, Hyderabad",700
Jaya Garden Function Hall,"Somajiguda, Hyderabad","1,80,000"
Limestone Aura Banquet Hall,"Somajiguda, Hyderabad","30,000"
Sahithi Convention Hall,"Somajiguda, Hyderabad","45,000"
Hotel NKM Grand,"Somajiguda, Hyderabad","50,000"
