Venue Name,Venue Location,Price per Plate
Mehndi Resorts,"Sonipat, Delhi Ncr",1018 - 1518
Satkar Palace,"Sonipat, Delhi Ncr",650 - 750
City Palace Banquets,"Sonipat, Delhi Ncr","95,000"
Blessings Banquet,"Sonipat, Delhi Ncr","85,000"
Green Fields Resort Lawn,"Sonipat, Delhi Ncr","10,000"
The Utsav Grand banquets,"Sonipat, Delhi Ncr","1,000"
Royal castle,"Sonipat, Delhi Ncr",900
Vasundhara Garden,"Sonipat, Delhi Ncr",900
NOOR MAHAL,"Sonipat, Delhi Ncr",1000 - 1200
Shree Ji Villas,"Sonipat, Delhi Ncr",800 - 1200
Cozette Hotel,"Sonipat, Delhi Ncr",1000 - 1600
Velvet Clarks Exotica,"Sonipat, Delhi Ncr",1200 - 1400
Hotel Jewels,"Sonipat, Delhi Ncr",500 - 700
Geeta Sarovar Portico,"Sonipat, Delhi Ncr",1500 - 1800
Saubhagya Resorts,"Sonipat, Delhi Ncr",800 - 1000
Hotel Sonipat Residency,"Sonipat, Delhi Ncr",700 - 900
New Bulbul Restaurants,"Sonipat, Delhi Ncr",800 - 1100
Regenta Almeida,"Sonipat, Delhi Ncr",1200 - 1400
Sun Park Resort,"Sonipat, Delhi Ncr",1400 - 1600
Harsh Party Zone,"Sonipat, Delhi Ncr",800 - 1000
Jurasik Park Inn,"Sonipat, Delhi Ncr",1200 - 1500
Manav Garden,"Sonipat, Delhi Ncr",19980 - 2318
Aggarwal Bhawan,"Sonipat, Delhi Ncr",750
Best Western Country Woods Hotel,"Sonipat, Delhi Ncr",1200 - 1400
