Venue Name,Venue Location,Price per Plate
Hotel Presidency inn,"Taltala, Kolkata",450 - 500
The Park Hotel,"Taltala, Kolkata",900 - 1200
Hotel Presidency Inn Banquet Hall,"Taltala, Kolkata",800 - 950
Ibrah Banquets,"Taltala, Kolkata",800 - 1200
Northampton Hall,"Taltala, Kolkata",750 - 900
Royal Palace Marraige Hall,"Taltala, Kolkata",800
Ibrah Banquets - Banquet Hall in Park Street,"Taltala, Kolkata",650 - 800
Trincas Banquet Hall,"Taltala, Kolkata",550 - 750
Freemasons' Hall,"Taltala, Kolkata",750
Jamuna Banquets,"Taltala, Kolkata","45,000"
Kareem's Banquet Hall,"Taltala, Kolkata","18,000"
Ibrah Feast Hall,"Taltala, Kolkata","60,000"
Spice Project,"Taltala, Kolkata","20,000"
Hotel Park Victoria,"Taltala, Kolkata","1,00,000"
