Venue Name,Venue Location,Price per Plate
Sivasakthi Thirumana Mandapam,"Tambaram, Chennai","1,50,000"
VARSINI MINI HALL,"Tambaram, Chennai","21,000"
JJ Mahal,"Tambaram, Chennai","35,000"
Mangrove Resort,"Tambaram, Chennai",180 - 250
Palani Grand Party Hall,"Tambaram, Chennai","30,000"
Meenachi Mahal,"Tambaram, Chennai","1,20,000"
ABIS Nakshathra AC Hall,"Tambaram, Chennai","40,000"
Laxmi Narayan Mahal,"Tambaram, Chennai","5,00,000"
Ndr Mahal,"Tambaram, Chennai","23,000"
Parva Party Hall,"Tambaram, Chennai","25,000"
Sri Abiraami Mini Hall,"Tambaram, Chennai","75,000"
Mayuraa Residency Hall,"Tambaram, Chennai","75,000"
Balajee Mini Hall,"Tambaram, Chennai","16,000"
Jazz Party Hall,"Tambaram, Chennai","20,000"
Best Party Hall,"Tambaram, Chennai","45,000"
Sky Line Party Hall,"Tambaram, Chennai","27,612"
Sun Shine Party Hall,"Tambaram, Chennai","29,000"
