Venue Name,Venue Location,Price per Plate
Wood Stock,"Thane West, Mumbai",700 - 900
Rnest Banquets,"Thane West, Mumbai",905 - 1005
De Grandeur Hotels And Banquets Hall 1,"Thane West, Mumbai",700 - 800
Govindmani Lawn 1,"Thane West, Mumbai",460 - 645
Royal Regalia Banquets 1,"Thane West, Mumbai",450 - 500
The blue Roof Club & Spa,"Thane West, Mumbai",743 - 843
Samarambh Lawn And Banquets Hall 1,"Thane West, Mumbai",800 - 900
The Light Cloud,"Thane West, Mumbai",600 - 700
The Shelter Hotels and Resorts,"Thane West, Mumbai",700 - 900
Param Banquets,"Thane West, Mumbai",518
Golden Swan Country Club,"Thane West, Mumbai",1000 - 1200
Kriyan Banquet Hall,"Thane West, Mumbai",850
Sargam Water Park,"Thane West, Mumbai",400 - 400
Exotica The Tropical Retreat Banquet Hall 1,"Thane West, Mumbai",950 - 1150
Nisarga Garden,"Thane West, Mumbai",600 - 750
Ceremony Banquets Hall 1,"Thane West, Mumbai",650
Nakshatra Banquet Hall,"Thane West, Mumbai",650 - 700
Prisha Banquet,"Thane West, Mumbai",800 - 800
Krushnai Hall,"Thane West, Mumbai",300 - 400
Ceremonial Kitchen And Co,"Thane West, Mumbai",890 - 850
Sammelan Banquet,"Thane West, Mumbai",830 - 945
RG Banquet Hall,"Thane West, Mumbai",700 - 800
Vits Sharanam Banquet Hall 1,"Thane West, Mumbai",750
Jalsa Open Air Banquet 1,"Thane West, Mumbai",575
