Venue Name,Venue Location,Price per Plate
Princeton Club,"Tollygunge, Kolkata",999 - 1499
Indismart Hotel,"Tollygunge, Kolkata",1000 - 1150
L C Banquet,"Tollygunge, Kolkata",800 - 1000
Bawarchi Banquets,"Tollygunge, Kolkata",500 - 600
Southern Plaza,"Tollygunge, Kolkata",800 - 1000
Ranjana Marriage Hall,"Tollygunge, Kolkata",600 - 700
Suryataran Hall,"Tollygunge, Kolkata",850 - 1100
SDV Party Hall,"Tollygunge, Kolkata",1200 - 1200
Jalsaghar Tusthi Banquet,"Tollygunge, Kolkata",500 - 650
Sree Krishnananda Bhavan,"Tollygunge, Kolkata","55,000"
Princeton Banquet,"Tollygunge, Kolkata",800 - 950
Vinayak Palace,"Tollygunge, Kolkata","90,000"
