Venue Name,Venue Location,Price per Plate
Hotel The Prince Royal Banquet Hall,"Uttarahalli, Bangalore",400 - 500
GM Royals Party Hall 1,"Uttarahalli, Bangalore",20000 - 30000
New Green Gardenia Party Hall 2,"Uttarahalli, Bangalore",400 - 500
Shanthi Sagar Party Hall,"Uttarahalli, Bangalore",210 - 300
Shibravyi,"Uttarahalli, Bangalore","5,00,000"
Vaishnavi Party Hall,"Uttarahalli, Bangalore","90,000"
Sri Krishnapriya Convention Center,"Uttarahalli, Bangalore","95,017"
Devanagari Garden,"Uttarahalli, Bangalore","2,50,000"
Sri Vari Convention Hall,"Uttarahalli, Bangalore","3,50,018"
Rajathadri Palace,"Uttarahalli, Bangalore","8,000"
