Venue Name,Venue Location,Price per Plate
Shiv Vishnu Mandir Pratisthan,"Vashi, Mumbai",400 - 400
Food Nectar,"Vashi, Mumbai",650 - 750
WeGrow Rooftop Garden Hall,"Vashi, Mumbai",1018 - 1018
Jhulelal Mandir Banquet Hall,"Vashi, Mumbai",550
O2 Banquets,"Vashi, Mumbai",700 - 850
Iris Banquets by Yogi Executive,"Vashi, Mumbai",1100 - 1200
Minds Meet,"Vashi, Mumbai",600 - 800
"Sai Heritage Banquet,Mumbai","Vashi, Mumbai",700
CIDCO Convention Centre,"Vashi, Mumbai",700 - 800
Aditya Banquets Hall 1,"Vashi, Mumbai",500
Shiv Vishnu Mandir Pratisthan Hall,"Vashi, Mumbai",450 - 550
Kiti Banquet,"Vashi, Mumbai",418 - 518
SNS Cruise Lines,"Vashi, Mumbai","3,40,000"
