Venue Name,Venue Location,Price per Plate
SP Grand Days,"Vazhuthacaud, Thiruvananthapuram",618 - 718
Sree Mulam Club Auditorium,"Vazhuthacaud, Thiruvananthapuram","20,000"
Mango Tree Banquet Hall,"Vazhuthacaud, Thiruvananthapuram",630 - 630
Flamingo Inn,"Vazhuthacaud, Thiruvananthapuram",500 - 500
RDR Convention Centre,"Vazhuthacaud, Thiruvananthapuram",On Request
Mas Auditorium,"Vazhuthacaud, Thiruvananthapuram","37,000"
Jaya Mahesh Kalyanamandapam,"Vazhuthacaud, Thiruvananthapuram","50,475"
Hotel City Palace,"Vazhuthacaud, Thiruvananthapuram","1,00,000"
Devamruthom Kalyana Mantapam,"Vazhuthacaud, Thiruvananthapuram","66,000"
Bhasura Hall,"Vazhuthacaud, Thiruvananthapuram","25,000"
Malarvadi Auditorium,"Vazhuthacaud, Thiruvananthapuram","50,000"
New Sreeragam Ac Hall,"Vazhuthacaud, Thiruvananthapuram","95,000"
Rasheed Auditorium,"Vazhuthacaud, Thiruvananthapuram","48,000"
Christ The King Church Parish Hall,"Vazhuthacaud, Thiruvananthapuram","16,000"
Melamcode NSS Karayogam Hall,"Vazhuthacaud, Thiruvananthapuram","15,000"
Nagarasabha Kalyana Mandapam,"Vazhuthacaud, Thiruvananthapuram","25,000"
Mount Carmel Convention Centre,"Vazhuthacaud, Thiruvananthapuram","30,000"
P Subramaniam Hall,"Vazhuthacaud, Thiruvananthapuram","2,00,000"
