Venue Name,Venue Location,Price per Plate
Be One Banquet Hall,"Vidyaranyapura, Bangalore",354 - 472
Shri Krishna Dhama Function Hall,"Vidyaranyapura, Bangalore",400
Sri krishna dhama function hall,"Vidyaranyapura, Bangalore","18,000"
Kalathur gardens,"Vidyaranyapura, Bangalore","1,50,000"
Nagachandra kalyana mantap,"Vidyaranyapura, Bangalore","46,500"
The Kings Meadows Hall Lawn,"Vidyaranyapura, Bangalore",1100 - 1400
SDA Convention Hall,"Vidyaranyapura, Bangalore","2,20,000"
Sree Durga Parameshwari Convention Hall,"Vidyaranyapura, Bangalore","28,000"
Chandra Vihar Kalyana Mantap,"Vidyaranyapura, Bangalore","1,00,000"
Sri Jyothinandamayi Samudaya Bhavana,"Vidyaranyapura, Bangalore","90,000"
Sri Dwaraka Convention,"Vidyaranyapura, Bangalore","1,20,000"
Anasuya Chandrappa Convention Hall,"Vidyaranyapura, Bangalore","75,000"
Nidhi Convention Hall,"Vidyaranyapura, Bangalore","2,15,018"
